uuid,object_type,registration_form,business_sector,main_location,country_abbreviations,identitification_uuid,founded_on,created
04e534e4-a5d9-46fa-ac63-a23e48fca27e,company,gbr,information_and_communication,Hamburg,DE,97b51063-0a67-4b3d-a442-2177d39889d7,7/21/1963,6/24/2017
ec12a490-499a-4f60-8601-025ac9bf2a62,company,ug,building_industry,Dortmund,DE,6de7d518-dc65-4116-b987-1ee4f1ea2550,8/24/1977,11/2/2018
92c423b5-af90-4b8d-a78b-0618901e5a1b,company,gmbh_co_kg,trade_maintenance_and_repair_of_vehicles,Berlin,DE,8f985977-8e8c-4cda-9579-18c7e25d7bf8,1/23/2015,3/3/2019
9ebc716b-9b01-4256-8867-6f62b5347ed3,company,gmbh,scientific_technical_consulting_services,Berlin,DE,df396518-95b2-48ac-9bbc-6093587e68ed,6/13/1979,10/30/2018
1b5b1624-c0dd-4192-a25e-7ffdf6774e90,selbstaendiger,einzelunternehmen,scientific_technical_consulting_services,Durach,DE,7a903176-450a-4ef6-bf7e-138312d58f94,2/23/1965,3/8/2019
75c23ba2-c46c-44df-b452-17c27afaadfc,company,gbr,other_services,Berlin,DE,7e76030d-63b9-4fd1-bdeb-28e69d784579,3/18/2013,3/16/2019
6795590c-e01e-4a92-94bb-7128393b2436,company,gbr,gastronomy,Berlin,DE,56c85d3d-98c6-4acc-9eb5-68339fb53981,11/9/1965,10/13/2018
fbdbce46-2d2a-455c-90f8-feecf9484200,company,gbr,information_and_communication,Saarland,DE,904297ae-8d77-4f35-867a-2eed4fd8e024,12/28/1989,2/17/2019
b9492494-d857-4e11-a8c8-358bfea5563c,company,gbr,information_and_communication,Berlin,DE,2c37bc52-76d7-4012-94a4-2f8151a934df,5/22/1971,5/25/2018
33bcb8a8-f330-4354-8e41-3052cf802807,company,gbr,other_services,Aachen,DE,426a28eb-ef58-4dfc-94ed-81f53ef93f71,12/9/1979,9/24/2017
8482762f-0982-4b17-a5f6-0378f2700551,company,gbr,information_and_communication,Berlin,DE,cdee332b-8d23-4045-beb6-f44f8a4812a0,12/8/1994,12/2/2017
0894ef50-6a77-4c7b-bc78-d693a0c2db2b,company,gbr,other_services,Hamburg,DE,6cc254f7-5e1b-49b5-b2eb-2833d222b3e5,7/21/1968,11/25/2017
4239c601-04fc-42f9-84b8-e38692805224,company,gbr,information_and_communication,Berlin,DE,1933d559-fe19-433d-b051-7cc28e418950,9/18/1988,4/27/2019
7a526d35-e411-41b6-8c21-b31e6f770547,company,gbr,information_and_communication,Pfinztal,DE,1710d1ba-7301-443c-acc0-02c2864b2542,12/18/1994,1/4/2019
9ce4730a-22a8-491a-803f-389093311b1e,company,gbr,other_services,Berlin,DE,ce0d3fd8-1c88-4d94-89d2-00367c89555b,2/1/1989,2/14/2018
0c787775-6960-4720-9374-6f46d14d49bd,company,gbr,other_economic_services,Wiesbaden,DE,0acf9dc8-bc9d-4c0f-9d60-368401fe01e8,12/4/2010,4/24/2019
f79d68ec-ad4d-4a4f-85f1-2c47d4d05f6e,company,gbr,information_and_communication,Maintal,DE,4311499d-8fc3-4412-a5fe-c68d12a86a32,10/16/2011,1/2/2018
35df0558-c372-40c6-965f-da57d344ba3d,company,gbr,information_and_communication,Berlin,DE,3e956e7e-8b12-482b-814a-83a1ba8348e4,7/29/1969,10/30/2018
1f5f646e-c0bd-4452-a02c-c7f5abc67568,company,gbr,other_services,Bonn,DE,8a013321-bc5d-44ed-b880-a05117d0ed1b,9/1/1992,2/21/2019
f1b6897a-28b6-4f6e-8e81-49451f7726e9,company,gbr,other_services,Mölln,DE,c1aa808f-d7a4-4daa-b23c-416fb5234d66,8/27/1966,2/19/2019
a91683a3-af0f-4740-b58f-47d082e9e5e7,company,gbr,information_and_communication,Stuttgart,DE,a8606d91-9b99-44b9-846c-8cc16a5ee0d4,6/24/1976,7/4/2017
dd5bd18c-f11f-470a-863b-56924f802728,company,gbr,information_and_communication,Leichlingen,DE,ee2b8c3c-b4ce-450a-98ea-3eadf7b039e4,2/6/1961,8/27/2017
ae83bc42-9c14-487d-b6df-e2c4f9d2afee,company,gbr,information_and_communication,Kiel,DE,5c25b8c5-5b27-4c1c-b368-4f2050457be5,5/6/1977,6/16/2018
60ecd720-03af-4ae0-a3b4-1f0851aac2a9,selbstaendiger,gbr,gastronomy,Berlin,DE,6185789d-e114-4ec8-8e09-491f6d5caf67,8/18/1987,1/22/2019
ef896b62-005e-4cbc-abb3-1e4b895e1d02,company,gbr,other_economic_services,Berlin,DE,b9c24891-2da5-4613-a7a4-877ba7826267,11/20/2015,3/25/2019
f6278523-7d6e-4521-a2ff-b15d3f20dd07,company,gbr,scientific_technical_consulting_services,Köln,DE,6eaa8feb-f446-49f0-987c-4b02a8579305,1/10/1991,12/29/2018
9dd427c8-6895-44ee-96ef-d383e653c81c,company,gbr,other_services,Fröndenberg,DE,0ed61647-01ca-45fe-b1fe-6cb163595dc6,6/19/2015,6/4/2018
61f488bd-a544-4e12-a277-79dad797c9a0,company,gbr,trade_maintenance_and_repair_of_vehicles,Dresden,DE,fdf11d83-4439-48e8-aae0-d6ac74c26dac,3/17/2017,3/23/2019
7d3033c9-7494-4e4e-adb6-6175a5050d8f,company,gbr,information_and_communication,Berlin,DE,ed980394-d547-468d-bbfc-3e98f1b9e13a,1/5/1977,6/27/2019
203f4582-a905-42e1-a776-1cfdf0bf54b3,selbstaendiger,gbr,other_services,Stuttgart,DE,717d5bdb-6590-4c06-a807-52a677881d2d,9/7/1968,6/27/2019
5a4c491a-b313-4edd-a9f7-ea1fe6133204,company,gbr,other_services,Dortmund,DE,b0e15b1b-d9eb-4caf-b7ff-31b814fc57aa,12/18/1979,6/3/2017
30e83490-eb70-4eea-8010-a97668420f53,selbstaendiger,gbr,other_services,Tirpersdorf,DE,2843b9e6-331a-4704-9144-6ceaa1b4936f,6/21/1991,5/31/2019
8151185d-2cde-4918-988b-45508f0f5d93,company,gbr,information_and_communication,Düsseldorf,DE,d5788f50-f28e-458c-b8fe-d1a6b225753b,6/10/2010,5/26/2018
a22aadf9-bf5e-49e0-9c35-90c9cf6a9f4e,company,gbr,other_services,Essen,DE,b49c4db9-a824-4ffd-8af9-b93e8508c047,12/17/1979,8/12/2018
